element,type,confidence(%)
educate on proper disposal of animal carcass,Public Health Issues,63.03246
biohazard issue identified,Public Health Issues,70.08456
biohazard protocol followed,Epidemiological/Exposure Factors/ Exposure/Source,65.75919
follow-up on prophylaxis of exposed lab workers,Epidemiological/Exposure Factors/ Exposure/Source,73.23389
letter sent,Weekly Follow-up,65.43512
any other public health action,Public Health Issues,85.07749
did patient receive prophylaxis/treatment,Patient History,76.25654
specify antibiotic,Maternal and Neonatal (e.g. Listeria forms),70.04677
number of days actually taken,Patient History,63.264076
treatment start date,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.49046
treatment end date,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.989975
prescribed dose,Clinical Information,72.358246
duration,Event,64.26668
indication,Event,67.380264
did patient take medication as prescribed,Patient History,73.9285
prescribing provider,Clinical Information,69.00184
notes,Comments,71.596565
lab report reviewed-lhj,Laboratory Data,76.46679
wdrs user-entered lab report note,Laboratory Data,74.093735
submitter,Reporting Entity/Reporting Facility,62.28694
performing lab for entire report,Laboratory Data,77.29995
referring lab,Laboratory Data,75.981544
specimen identifier/accession number,Laboratory Data,69.30036
specimen collection date,Laboratory Data,69.71434
specimen received date,Laboratory Data,69.27614
wdrs specimen type,Laboratory Data,66.88964
wdrs specimen source site,Laboratory Data,70.20121
wdrs specimen reject reason,Laboratory Data,63.496292
wdrs test performed,Diagnostic Testing,72.316956
"wdrs test result, coded",Laboratory Data,64.170456
"wdrs test result, comparator",Diagnostic Testing,65.92403
"wdrs result, numeric only (enter only if given, including as necessary comparator and unit of measure",Laboratory Data,62.01403
wdrs unit of measure,Control Measures,63.846268
test method,Diagnostic Testing,79.58928
wdrs interpretation code,Case Information,57.19924
"test result-other, specify",Diagnostic Testing,70.56274
wdrs result summary,Weekly Follow-up,61.308807
test result status,Diagnostic Testing,74.436646
result date,Patient History,64.02298
wdrs ordering provider,Partner Information,60.581337
wdrs ordering facility name,Reporting Entity/Reporting Facility,65.56744
"case name (last, first)",Case Information,79.12918
date of birth,Patient History,64.33852
age at symptom onset,History of the disease,68.87999
alternate name,Traditional Healer,59.593575
phone,Call logs,66.341896
patient e-mail,Clinical Information,77.26684
address type,Local Fields,65.03494
patient street address,Patient History,74.36227
city/state/zip/county,Case Information,63.091816
residence type (incl. homeless),Reporting Entity/Reporting Facility,62.322365
wa resident,Administrative,64.73992
investigator,Community Investigation,77.15075
lhj case id (optional),Case Information,75.16287
lhj notification date,Weekly Follow-up,64.94221
classification,Comments,64.89292
investigation status,Community Investigation,75.44039
investigation start,Community Investigation,79.01209
investigation complete,Community Investigation,72.890976
record complete,Patient History,65.54433
case complete,Case Information,76.86515
initial report source,Case Information,69.00133
lhj,Administrative,60.181034
reporter organization,Reporting Entity/Reporting Facility,72.325745
reporter name,Weekly Follow-up,65.73679
reporter phone,Call logs,69.71847
all reporting sources (list all that apply),Reporting Entity/Reporting Facility,78.20856
sex at birth,Illness in Mother and Infant,64.3506
"do you consider yourself (your child) hispanic, latino/a, orlatinx",Community Investigation,56.61384
what race or races do you consider yourself (your child)? you can be as broad or specific as you'd like (check all responses),Community Investigation,58.03827
additional race information,Case Information,64.66511
what is your (your child's) preferred language? check one,Illness in Mother and Infant,56.428944
interpreter needed,Administrative,61.705173
employed,Administrative,71.12753
patient occupation,Medical Encounters,80.32311
industry,Administrative,69.67813
employer,Administrative,74.955925
work site,Administrative,70.2248
city,Event,65.33524
student/day care,Administrative,68.57075
type of school,Administrative,66.15216
school name,Administrative,64.585266
school address,Administrative,67.19434
city/state/county,Case Information,66.80401
zip,,62.207527
phone number,Partner Information,62.679733
teacher's name,Administrative,64.42189
primary hcp name,Partner Information,61.38616
phone,Call logs,66.341896
"ok to talk to patient (if later, provide date)",Patient History,71.27
date of interview attempt,Case Information,62.71089
interview conducted*,Community Investigation,67.42589
alternate contact,Partner Information,63.88805
name,Case Information,63.117123
phone,Call logs,66.341896
outbreak related,Illness in Mother and Infant,72.920815
lhj cluster id,Local Fields,61.43537
cluster name,Reporting Entity/Reporting Facility,59.337425
complainant ill,Illness in Mother and Infant,73.075615
symptom onset,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.826805
diagnosis date,Patient History,76.77746
illness duration,Illness in Mother and Infant,72.893
illness is still ongoing,Illness in Mother and Infant,73.87451
clinical features,Clinical Information,80.40032
hospitalized at least overnight for this illness,Illness in Mother and Infant,73.43186
facility name,Reporting Entity/Reporting Facility,72.36853
hospital admission date,Patient History,75.53391
discharge,Medical Encounters,65.95834
hrn,Traditional Healer,61.799408
"admitted to icu, dates",Patient History,77.17954
mechanical ventilation or intubation required,Clinical Information,68.37077
still hospitalized as of,Patient History,70.67522
died of this illness,History of the disease,78.638626
autopsy performed,Medical Encounters,70.0993
death certificate lists disease as a cause of death or a significant contributing condition,History of the disease,70.22483
pregnancy status at time of symptom onset,Illness in Mother and Infant,72.22734
estimated pregnancy delivery date,Illness in Mother and Infant,58.206535
weeks pregnant at any symptom onset,Illness in Mother and Infant,70.09796
"ob name, phone, address",Partner Information,73.29677
outcome of pregnancy,Illness in Mother and Infant,75.114105
delivery method,Cold Chain and Transport,64.67659
postpartum (estimated) delivery date,Weekly Follow-up,62.33809
"ob name, phone, address",Partner Information,73.29677
outcome of pregnancy,Illness in Mother and Infant,75.114105
delivery method,Cold Chain and Transport,64.67659
travel out of,Cold Chain and Transport,58.855713
destination name,Cold Chain and Transport,61.90448
start and end dates,Event,63.27039
"is case a recent foreign arrival (e.g. immigrant, refugee, adoptee, visitor)",Case Information,77.54547
does the case know anyone else with similar symptoms or illness,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.409386
contact setting/relationship to case,Case Information,68.21529
(potential) occupational exposure,Epidemiological/Exposure Factors/ Exposure/Source,75.76963
patient occupation,Medical Encounters,80.32311
specify occupation,Administrative,71.224556
"did case have a known brucella exposure (e.g., laboratory exposure)",Case Information,72.04524
was pep recommended,Public Health Issues,59.995876
did case complete the pep course,Case Information,71.64545
type,Event,63.36391
what was exposure status,Epidemiological/Exposure Factors/ Exposure/Source,67.114845
where did exposure happen,Epidemiological/Exposure Factors/ Exposure/Source,69.93584
brucella vaccine exposure,Epidemiological/Exposure Factors/ Exposure/Source,66.24347
type of exposure,Epidemiological/Exposure Factors/ Exposure/Source,69.16269
vaccine strain,Maternal and Neonatal (e.g. Listeria forms),67.94884
unpasteurized dairy products,Maternal and Neonatal (e.g. Listeria forms),67.12647
type of product,Surveillance Use Only,62.71689
dairy animal,Nutritious / Food consumption,62.571293
location acquired,Local Fields,65.522934
brand,Traditional Healer,64.47301
any contact with animals,Medical Encounters,73.79405
type of animal*,Traditional Healer,58.52339
type of contact (select all that apply),Medical Encounters,60.718834
who own animals (select all that apply),Nutritious / Food consumption,60.955833
case or household member lives or works on farm or dairy,Case Information,72.07297
"if infant, confirmed infection in birth mother",Illness in Mother and Infant,88.6605
breast fed,Illness in Mother and Infant,63.88489
neonatal infection,Illness in Mother and Infant,84.013
epidemiologic link to a confirmed human or animal case,Epidemiological/Exposure Factors/ Exposure/Source,74.782455
epidemiologic link*,Epidemiological/Exposure Factors/ Exposure/Source,79.765144
likely geographic region of exposure,Epidemiological/Exposure Factors/ Exposure/Source,73.07474
international travel related,Medical Encounters,60.68206
suspected exposure type,Epidemiological/Exposure Factors/ Exposure/Source,76.03941
describe,Comments,65.53726
suspected exposure setting,Epidemiological/Exposure Factors/ Exposure/Source,63.707947
describe,Comments,65.53726
exposure summary,Epidemiological/Exposure Factors/ Exposure/Source,70.47993
suspected transmission type (check all that apply),Household Transmission,77.53786
describe,Comments,65.53726
suspected transmission setting (check all that apply),Household Transmission,71.830086
describe,Comments,65.53726
"did case donate blood products, organs or tissue (including ova or semen) in the 30 days before symptom onset or diagnosis",Treatment/ Services referrals/ Case Diagnosis and Treatment,71.65766
