element,members
required respiratory support,Required respiratory support
required ecmo (extracorporeal membrane oxygenation),Required ECMO (Extracorporeal membrane oxygenation)
bronchoalveolar lavage performed,Bronchoalveolar lavage performed
lipid staining,"lipid staining, Lipid staining"
lipid-laden macrophages seen,"lipid-laden macrophages seen, Lipid-laden macrophages seen"
blood sample available for testing,Blood sample available for testing
urine sample available for testing,Urine sample available for testing
lung biopsy performed,Lung biopsy performed
findings consistent with acute lung injury,Findings consistent with acute lung injury
"if yes, other significant findings","If yes, other significant findings, Other significant findings"
immediate cause of death,Immediate cause of death
contributing causes of death,Contributing causes of death
autopsy sample collected,autopsy sample collected
lipid staining performed on autopsy lung tissue,Lipid staining performed on autopsy lung tissue
specify findings,Specify findings
detection place (health facility or community),Detection place (Health facility or Community)
patient identification number (yyyy-week-ccc-ppp-ddd-reporting site-nnn),Patient identification number (yyyy-week-CCC-PPP-DDD-Reporting site-nnn)
number of other contact(s),"Number of other contacts, Number of Other Contact"
date of first symptoms onset (dd/mm/yyyy),"Date of first symptoms onset (dd/mm/yyyy), Date of onset (first symptoms) (dd/mm/yyyy)"
observed symptoms and clinical signs,Observed Symptoms and Clinical signs
was patient exposed to any known risk factor for this disease? (yes/no),Was patient exposed to any known risk factor for this disease? (Yes/No)
"if yes, specify risk factor(s)","If yes, specify risk factor(s)"
"final classification (not a case, suspect, probable, confirmed by lab, confirmed by epidemiological link, pending)","Final Classification (Not a case, Suspect, Probable, Confirmed by Lab, Confirmed by epidemiological link, Pending)"
"outcome (died, survived, unknown)","Outcome (Died, Survived, Unknown)"
end of latest contact followed-up (dd/mm/yyyy),End of latest contact followed-up (dd/mm/yyyy)
quarter,Quarter
drug susceptibility test results (s=sensitive; r=resistant; i=intermediate; u=unknown),Drug Susceptibility Test Results (S=sensitive; R=Resistant; I=intermediate; U=unknown)
case unique identifier (detection year-country code-number in tb register),Case unique identifier (Detection year-Country code-Number in Tb Register)
type of notification (mdr-tb or xdr tb),Type of Notification (MDR-TB or XDR TB)
tb site (pulmonary or extra pulmonary),TB Site (Pulmonary or extra Pulmonary)
type of tb case (new/relapse/after default/after failure of first treatment/after failure of re-treatment/transfer in/other),Type of TB Case (New/Relapse/After default/After failure of first treatment/After failure of re-treatment/Transfer in/Other)
patient treatment status (on treatment/not on treatment/don't know),Patient treatment status (On treatment/Not on treatment/Don't know)
hiv status (positive/negative/unknown),HIV Status (positive/negative/Unknown)
drugs,Drugs
date received at zonal/national level,Date received at Zonal/national level
date case notified,Date case Notified
describe treatment of cord,Describe treatment of cord
age at death in days,Age at death in days
medical number,Medical number
date of response for supplemental,Date of response for supplemental
was the patient exposed to any known risk factor for this disease? (yes/no),Was the patient exposed to any known risk factor for this disease? (Yes/No)
"if yes, specify risk factor(s): water used by the patient for drinking : (list by type, e.g. tap water, borehole, unprotected well, protected well, river, dam, lake, pond)","If yes, specify risk factor(s): Water used by the patient for drinking : (list by type, e.g. tap water, Borehole, unprotected well, protected well, River, dam, lake, pond)"
"water used by the patient for drinking: (list by type, e.g. tap water, borehole, unprotected well, river, dam, lake, pond)","Water used by the patient for drinking: (list by type, e.g. tap water, Borehole, unprotected well, River, dam, lake, pond)"
practice/clinic/provider name,Practice/clinic/provider name
suburb,Suburb
profession,Profession
clinical setting,Clinical setting
incident type*,Incident type*
brand,Brand
incident,Incident
indigenous status: is the person of aboriginal or torres strait islander origin,Indigenous status: Is the person of Aboriginal or Torres Strait Islander origin
date of incident,Date of incident
time of incident,Time of incident
incident management action taken,Incident management action taken
number of consumers impacted (if multiple),Number of consumers impacted (if multiple)
incident discovery and contributing factors,Incident discovery and contributing factors
forwarded to appropriate organization,Forwarded to appropriate organization
date forwarded,Date forwarded
"subject name: (last, first)","Subject name: (Last, First)"
date of symptom onset of this illness,Date of symptom onset of this illness
subject's county of residence,Subject's county of residence
first and last name,First and Last Name
subject admitted as inpatient,Subject admitted as inpatient
hospital duration (in days),Hospital duration (in days)
height units,Height units
weight units,Weight units
specimen collection date (mm/dd/yyyy),Specimen collection date (mm/dd/yyyy)
lab result date (mm/dd/yyyy),Lab result date (mm/dd/yyyy)
parasitemia (percentage),Parasitemia (percentage)
lab name,"Lab name, Lab Name"
lab phone,Lab phone
has the subject traveled or lived outside the u.s. during the past 2 years,Has the subject traveled or lived outside the U.S. during the past 2 years
date returned/arrived in u.s.,Date returned/arrived in U.S.
duration in country,Duration in country
duration units,Duration units
principal reason for travel,Principal reason for travel
other reason for travel,Other reason for travel
what is the subject's country of usual residence,What is the subject's country of usual residence
what is the subject's country of residence prior to most recent travel,What is the subject's country of residence prior to most recent travel
what is the subject's country of birth,What is the subject's country of birth
was a specimen(s) sent to cdc,Was a specimen(s) sent to CDC
"if yes, type of specimen sent to cdc (for each specimen, enter the cdc id)","If yes, type of specimen sent to CDC (for each specimen, enter the CDC ID)"
was malaria chemoprophylaxis used,Was malaria chemoprophylaxis used
"if yes, which drugs were taken (select all that apply)","If yes, which drugs were taken (select all that apply)"
history of malaria in the last 12 months (prior to this report),History of malaria in the last 12 months (prior to this report)
"if yes, species (select all that apply)","If yes, species (select all that apply)"
complications (select all that apply),Complications (select all that apply)
